[19:26:44.302] | INFO  | main                             | YandexComp                       | Initialized driver
[19:26:46.694] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (46c0c264947c4dbea3fbc00d6b477825)
[19:26:47.428] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:26:49.861] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:26:53.240] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[19:26:53.710] | INFO  | main                             | YandexComp                       | Select HUAWEI
[19:26:54.069] | INFO  | main                             | YandexComp                       | Select Xiaomi
[19:26:55.561] | INFO  | main                             | YandexComp                       | Wait button is clickable
[19:26:55.752] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[19:26:55.940] | INFO  | main                             | YandexComp                       | driver shutDown
[19:30:16.910] | INFO  | main                             | YandexComp                       | Initialized driver
[19:30:19.331] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (33ef0ab7ca30c71f53ff8ca901bc85a9)
[19:30:20.987] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:30:22.750] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:30:26.092] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[19:30:26.419] | INFO  | main                             | YandexComp                       | Select HUAWEI
[19:30:26.776] | INFO  | main                             | YandexComp                       | Select Xiaomi
[19:30:28.242] | INFO  | main                             | YandexComp                       | Wait button is clickable
[19:30:28.436] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi
[19:30:28.657] | INFO  | main                             | YandexComp                       | driver shutDown
[19:32:47.916] | INFO  | main                             | YandexComp                       | Initialized driver
[19:32:50.338] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (d2ca1278cc5f0f84f8478bc605648f39)
[19:32:51.025] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:32:53.478] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:32:56.821] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[19:32:57.238] | INFO  | main                             | YandexComp                       | Select HUAWEI
[19:32:57.557] | INFO  | main                             | YandexComp                       | Select Xiaomi
[19:32:59.264] | INFO  | main                             | YandexComp                       | Wait button is clickable
[19:32:59.471] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi by price
[19:33:00.913] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[19:33:01.076] | INFO  | main                             | YandexComp                       | driver shutDown
[19:33:28.640] | INFO  | main                             | YandexComp                       | Initialized driver
[19:33:30.542] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (32c242e11c9b9c8c43305312de135f58)
[19:33:31.143] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:33:31.329] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:33:31.527] | INFO  | main                             | YandexComp                       | driver shutDown
[19:33:53.992] | INFO  | main                             | YandexComp                       | Initialized driver
[19:33:55.709] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (feedbe0a31566896563841540ad7cffa)
[19:33:56.290] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[19:33:58.979] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[19:34:02.209] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[19:34:02.611] | INFO  | main                             | YandexComp                       | Select HUAWEI
[19:34:02.971] | INFO  | main                             | YandexComp                       | Select Xiaomi
[19:34:04.456] | INFO  | main                             | YandexComp                       | Wait button is clickable
[19:34:04.641] | INFO  | main                             | YandexComp                       | Sorted HUAWEI and Xiaomi by price
[19:34:06.038] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[19:34:06.228] | INFO  | main                             | YandexComp                       | driver shutDown
[19:59:29.195] | INFO  | main                             | YandexComp                       | Initialized driver
